"abr","long_form"
"POP","pain on palpation"
"POP","Plaster of Paris"
"Post","posterior"
"POT","plan of treatment"
"POX","peroxidase"
"PP","pulse pressure"
"PP","postpartum"
"PPCS","prolonged post-concussion syndrome"
"PPD","packs per day"
"PPD","postpartum depression"
"PPD","purified protein derivative"
"PPF","posterior pharyngeal flap"
"PPH","postpartum haemorrhage"
"PPH","primary pulmonary hypertension"
"PPH","procedure for prolapse and hemorrhoids"
"PPI","proton pump inhibitor"
"PPROM","preterm premature rupture of membranes"
"PPS","post-polio syndrome"
"Ppt","precipitate"
"Ppt","precipitating"
"PPTL","postpartum tubal ligation"
"PPTP","Pediatric preclinical testing program"
"PPV","positive predictive value"
"PPx","prophylaxis"
"PR","prothrombin ratio"
"p.r.","per rectum"
"PRA","plasma renin activity"
"PRBC","packed red blood cells"
"PRBCs","packed red blood cells"
"PREA","Pediatric Research Equity Act"
"Preme","premature infant"
"Prep","preparation"
"PRES","Posterior reversible encephalopathy syndrome"
"PRIND","prolonged reversible ischemic neurologic deficit"
"PRL","prolactin"
"prn","as necessary"
"prn","as needed"
"PRN","as necessary"
"PRN","as needed"
"Prog","prognosis"
"PROM","premature rupture of membranes"
"PRP","panretinal photocoagulation"
"PRP","progressive rubella panencephalitis"
"PRV","polycythemia rubra vera"
"PSA","prostate-specific antigen"
"PBSO","Partial small bowel obstruction"
"PSC","Primary sclerosing cholangitis"
"PSGN","poststreptococcal glomerulonephritis"
"PSH","Past surgical history"
"PSH","psychosocial history"
"PSH","Past medical history"
"PSI","Pneumonia severity index"
"PSP","phenylsulphtalein"
"PSS","progressive systemic sclerosis"
"PSVT","paroxysmal supraventricular tachycardia"
"PT","prothrombin time"
"PT","physical therapy"
"Pt.","patient"
"PTA","percutaneous transluminal angioplasty"
"PTA","post-traumatic amnesia"
"PTA","prior to admission"
"PTB","pulmonary tuberculosis"
"PTC","percutaneous transhepatic cholangiography"
"PTCA","percutaneous transluminal coronary angioplasty"
"PTD","prior to discharge"
"PTD","preterm delivery"
"PTH","parathyroid hormone"
"PTHC","percutaneous transhepatic cholangiography"
"PTL","preterm labor"
"PTSD","posttraumatic stress disorder"
"PTSS","posttraumatic stress syndrome"
"PTT","partial thromboplastin time"
"PTU","propylthiouracil"
"PTx","pneumothorax"
"PUS","palindromic units"
"PUBS","percutaneous umbilical blood sample"
"PUD","peptic ulcer disease"
"PUO","pyrexia of unknown origin"
"PUVA","psoralen ultraviolet A"
"p.v.","per vagina"
"PVC","premature ventricular contraction"
"PVD","peripheral vascular disease"
"PVFS","post-viral fatigue syndrome"
"PVI","Peripheral Vascular Insufficiency"
"PVI","Pulmonary Vein Isolation"
"PVR","pulmonary vascular resistance"
"PVS","persistent vegetative state"
"PVS","pulmonary valve stenosis"
"PVS","Plummer-Vinson syndrome"
"PWP","pulmonary wedge pressure"
"Px","physical examination"
"px","physical examination"
"Px","prognosis"
"P-Y","pack-years"
"PZA","pyrazinamide"
"q","every"
"q","each"
"q2wk","once every 2 weeks"
"q6h","once every 6 hours"
"q.a.d.","every other day"
"QALY","quality-adjusted life year"
"q.AM","every day before noon"
"q.d.","each day"
"q.d.s.","four times each day"
"q.h.","each hour"
"q.h.s.","every bedtime"
"q.i.d.","four times each day"
"QIDS","Quick Inventory of Depressive Symptoms"
"q.l.","as much as you like"
"q.m.t.","every month"
"q.n.","every night"
"QNS","quantity not sufficient"
"q.n.s.","quantity not sufficient"
"q.o.d.","every other day"
"QOF","Quality and Outcomes Framework"
"q.o.h.","every other hour"
"q.s.","as much as suffices"
"qt","quart"
"q.v.","which see"
"q.v.","as much as you please"
"qw","weekly"
"qw","once a week"
"q.wk.","weekly"
"q.wk.","once a week"
"R","respiration"
"RA","refractory anemia"
"RA","rheumatoid arthritis"
"RA","right atrium"
"RA","room air"
"RAD","reflex anal dilatation"
"RAD","right axis deviation"
"Rad hys","radical hysterectomy"
"RAE","right atrial enlargement"
"RAI","radioactive iodine"
"RAIU","thyroid reactive iodine uptake"
"RAPD","relative afferent pupillary defect"
"RAS","renal artery stenosis"
"RATLH","Robotic assisted total laparoscopic hysterectomy"
"RATVH","Radical Total Vaginal Hysterectomy"
"RBBB","right bundle branch block"
"RBC","red blood cells"
"RBC","red blood count"
"RBE","relative biologic equivalent"
"RBLM","recurrent benign lymphocytic meningitis"
"RCA","right coronary artery"
"RCC","renal cell carcinoma"
"RCM","restrictive cardiomyopathy"
"RCM","right costal margin"
"RCR","rotator cuff repair"
"RCT","randomized controlled trial"
"RD","retinal detachment"
"RDS","respiratory distress syndrome"
"RDW","red cell distribution width"
"REI","Reproductive Endocrinology and Infertility"
"REM","rapid eye movement"
"REM","roentgen equivalent man"
"RF","rheumatoid factor"
"RF","rheumatic fever"
"RFLP","restriction fragment length polymorphism"
"RFT","renal function test"
"r/g/m","rubs/gallops/murmurs"
"Rh","rhesus factor"
"Rhabdo","Rhabdomyolysis"
"RHD","rheumatoid heart disease"
"RhF","rheumatoid factor"
"RIA","radioimmunoassay"
"RIBA","radioimmunoblotting assay"
"RICE","rest, ice, compression, and elevation"
"RIF","rifampin"
"RIMA","reversible inhibitor of monoamine oxidase A"
"RIND","reversible ischemic neurologic deficit"
"RL","Ringer's lactate"
"RLE","right lower extremity"
"RLL","right lower lobe"
"RLN","recurrent laryngeal nerve"
"RLN","regional lymph node"
"RLQ","right lower quadrant"
"R&M","Routine + microscopic"
"RML","right middle lobe"
"RMS","rhabdomyosarcoma"
"RMSF","rocky mountain spotted fever"
"RNA","ribonucleic acid"
"RNP","ribonucleoprotein"
"RNV","radionuclide ventriculography"
"RNY","Roux-en-Y anastomosis"
"R/O","rule out"
"ROA","right occipital anterior"
"ROM","range of motion"
"ROM","rupture of membranes"
"ROP","right occipital posterior"
"ROP","retinopathy of prematurity"
"ROS","review of systems"
"ROSC","return of spontaneous circulation"
"RPGN","rapidly progressing glomerulonephritis"
"RPLND","retroperitoneal lymph node dissection"
"RPR","rapid plasma reagin test"
"RR","respiratory rate"
"RRP","Recurrent Respiratory Papillomatosis"
"RRR","regular rate and rhythm"
"RS cell","Reed–Sternberg cell"
"RSB","Right sternal border"
"RSI","rapid sequence induction"
"RSV","respiratory syncytial virus"
"R/t","related to"
"RT","reverse transcriptase"
"RT-PCR","reverse transcriptase polymerase chain reaction"
"RTA","renal tubular acidosis"
"RTC","return to clinic"
"RTS","Revised Trauma Score"
"RTV","ritonavir"
"RUE","right upper extremity"
"RUL","right upper lobe"
"RUQ","right upper quadrant"
"RUTI","recurrent urinary tract infection"
"RV","residual volume"
"RV","right ventricle"
"RVAD","right ventricular assist device"
"RVF","right ventricular failure"
"RVH","right ventricular hypertrophy"
"RVR","rapid ventricular rate"
"RVSP","right ventricular systolic pressure"
"RVT","renal vein thrombosis"
"RXN","reaction"
"S","sacrum"
"S&O","salpingo-oophorectomy"
"SA","sinoatrial node"
"SAAG","serum–ascites albumin gradient"
"SAB","staphylococcal bacteremia"
"SAB","spontaneous abortion"
"SAD","seasonal affective disorder"
"SAD","subacromial decompression"
"SAH","subarachnoid hemorrhage"
"SAM","systolic anterior motion"
"SAN","sinoatrial node"
"SAPS II","simplified acute physiology score II"
"SAPS III","simplified acute physiology score III"
"SAR","seasonal allergic rhinitis"
"Sarc","sarcoidosis"
"SARS","severe acute respiratory syndrome"
"SB","small bowel"
"SBE","subacute bacterial endocarditis"
"SBFT","small bowel follow through"
"SBMA","spinal and bulbar muscular atrophy"
"SBO","small bowel obstruction"
"SBP","systolic blood pressure"
"SBP","spontaneous bacterial peritonitis"
"SBRT","split beam radiation therapy"
"SC","subcutaneous"
"SCA","spinocerebellar ataxia"
"SCAT","sex cord tumor with annular tubes"
"SCC","squamous cell carcinoma"
"SCD","sequential compression device"
"SCD","sickle-cell disease"
"SCD","sudden cardiac death"
"SCI","spinal cord injury"
"SCID","severe combined immunodeficiency"
"SCIWORA","spinal cord injury without radiographic abnormality"
"SCLC","small cell lung cancer"
"scope","microscope"
"scope","endoscope"
"SCT","sacrococcygeal tumor"
"S.D.","subdermal"
"SD","standard deviation"
"σ","standard deviation"
"SDH","subdural hematoma"
"SDTI","suspected deep tissue injury"
"SE","standard error"
"SE","side effect"
"Sed","sedimentation"
"SEE","syphilis elimination effort"
"Segs","segmented cells"
"SEM","standard error of the mean"
"SEM","systolic ejection murmur"
"SERM","selective estrogen receptor modulator"
"SERT","serotonin transporter"
"SFA","superficial femoral artery"
"SFA","serum folic acid"
"SGA","small for gestational age"
"SG cath","Swan–Ganz catheter"
"SG","specific gravity"
"SGB","stellate ganglion block"
"SGOT","serum glutamic oxaloacetic transaminase"
"SGPT","serum glutamic pyruvic transaminase"
"SH","social history"
"SHBG","sex hormone-binding globulin"
"shob","shortness of breath"
"SHPT","secondary hyperparathyroidism"
"SHx","surgical history"
"SI","International System of Units"
"SI","suicidal ideation"
"SI","seriously ill"
"SI","sacroiliac"
"SIADH","syndrome of inappropriate antidiuretic hormone"
"SICU","surgical intensive care unit"
"SIBO","small intestinal bacterial overgrowth"
"SID","once daily"
"SIDS","sudden infant death syndrome"
"SIL","squamous intraepithelial lesion"
"SIMV","synchronized intermittent mechanical ventilation"
"si op. sit","if needed"
"SIRS","systemic inflammatory response syndrome"
"SIT","stress inoculation training"
"SJS","Stevens–Johnson syndrome"
"SK","streptokinase"
"sl","sublingual"
"SLE","systemic lupus erythematosus"
"SLEV","St Louis virus"
"SLN","sentinel lymph node biopsy"
"SLNB","sentinel lymph node biopsy"
"SLR","straight leg raise"
"SLL","small lymphocytic lymphoma"
"SLP","speech-language pathologist"
"SM","multiple sclerosis"
"SM","submucosal"
"SMA","sequential multiple analysis"
"SMA-6","six-channel serum multiple analysis"
"SMA-7","serum metabolic assay"
"SMN","statement of medical necessity"
"SMS","senior medical student"
"SMT","spinal manipulative therapy"
"SMV","superior mesenteric vein"
"SN","student nurse"
"SN","skilled nursing"
"SNB","sentinel node biopsy"
"SNF","skilled nursing facility"
"SNP","sodium nitroprusside"
"SNP","single nucleotide polymorphism"
"SNRI","serotonin–norepinephrine reuptake inhibitor"
"SNV","sin nombre virus"
"SO","salpingo-oophoritis"
"SOA","swelling of ankles"
"SOAP","subjective, objective, assessment, plan"
"SOB","shortness of breath"
"SOBOE","shortness of breath on exertion"
"SOL","space-occupying lesion"
"Sol","solution"
"SOOB","send out of bed"
"SOOB","sitting out of bed"
"SOS","if needed"
"SP","status post"
"s/p","status post"
"SPE","streptococcal pyrogenic exotoxin"
"Spec","specimen"
"SPECT","single-photon emission computed tomography"
"SPEP","serum protein electrophoresis"
"SPET","single-photon emission tomography"
"Sp. fl.","spinal fluid"
"Sp. gr.","specific gravity"
"SPS","single point (walking) stick"
"SQ","subcutaneous"
"sq","subcutaneous"
"SR","slow release"
"SROM","spontaneous rupture of membranes"
"SRU","shock resuscitation unit"
"SS","hemoglobin SS"
"SS","subserosal"
"SS","Sjogren's Syndrome"
"S/S","signs and symptoms"
"S/Sx","signs and symptoms"
"SSC","secondary sex characteristics"
"SSE","sterile speculum exam"
"SSEP","somatosensory evoked potential"
"SSI","sliding scale insulin"
"SSKI","potassium iodide solution"
"SSPE","subacute sclerosing panencephalitis"
"ssRNA","single-stranded RNA"
"SSRI","selective serotonin reuptake inhibitor"
"SSSI","skin and skin structure infection"
"SSSS","staphylococcal scalded skin syndrome"
"SSS","sick sinus syndrome"
"ST","sore throat"
"ST","speech therapy"
"Staph.","Staphylococcus"
"STD","sexually transmitted disease"
"stat","immediately"
"STEC","Shiga toxin–producing Escherichia coli"
"STEMI","ST elevation myocardial infarction"
"STH","somatotropic hormone"
"STI","sexually transmitted infection"
"STI","soft tissue injury"
"STN","Subthalamic nucleus"
"STNR","Symmetrical tonic neck reflex"
"STOP","surgical termination of pregnancy"
"Strep.","Streptococcus"
"Strepto.","Streptococcus"
"STS","serological test for syphilis"
"STS","soft tissue sarcoma"
"Subq","subcutaneous"
"SUI","stress urinary incontinence"
"Supp","suppository"
"SUV","standardized uptake value"
"SV","seminal vesicle"
"SV","stroke volume"
"SVC","superior vena cava"
"SVD","spontaneous vaginal delivery"
"SVD","simple vertex delivery"
"SVE","sterile vaginal examination"
"SVG","Saphenous vein graft"
"SVI","systemic viral infection"
"SVN","small volume nebulizer"
"SVR","systemic vascular resistance"
"SVT","supraventricular tachycardia"
"SW","Sturge–Weber syndrome"
"Sx","symptoms"
"SXA","single-energy X-ray absorptiometer"
"SXR","skull x-ray"
"Sz","seizure"
"T","thoracic vertebrae"
"TA","temporal arteritis"
"T&A","tonsillectomy with adenoidectomy"
"T&C","type and cross-match"
"Tab","Tablet"
"TAB","therapeutic abortion"
"TAH","total abdominal hysterectomy"
"TAH-BSO","total abdominal hysterectomy with bilateral salpingo-oophorectomy"
"TAP","trypsinogen activation peptide"
"TAPVR","total anomalous pulmonary venous return"
"TAT","thematic apperception test"
"TB","tuberculosis"
"TBC","tuberculosis"
"TBC","total body crunch"
"TbEC","Enteric coated tablet"
"TBG","thyroid-binding globulin"
"TBI","to be intubated"
"TBI","total body irradiation"
"TBI","traumatic brain injury"
"TBLC","term birth living child"
"TC","traffic crash"
"TCA","tricyclic antidepressants"
"TCC","transitional cell carcinoma"
"TCM","traditional Chinese medicine"
"TCN","tetracycline"
"TCOM","Transcutaneous oxygen measurement"
"TCT","thrombin clotting time"
"T2DM","type 2 Diabetes mellitus"
"Td","tetanus and diphtheria"
"TDaP","tetanus, diphtheria, and acellular pertussis combined vaccine"
"TdP","Torsades de pointes"
"TDS","three times a day"
"TdT","terminal deoxynucleotidyl transferase"
"TD","Tardive dyskinesia"
"TE","tracheoesophageal"
"TEB","thoracic electrical bioimpedance"
"TEC","transient erythroblastopenia of childhood"
"TEE","transesophageal echocardiogram"
"TEF","tracheoesophageal fistula"
"TEM","transmission electron microscopy"
"Temp","temperature"
"TEN","toxic epidermal necrolysis"
"TENS","transcutaneous electrical nerve stimulator"
"TF","transfer"
"T/F","transfer"
"TFR","tumor volume to fetal weight ratio"
"TFTs","thyroid function tests"
"TGA","transposition of the great arteries"
"TG","triglycerides"
"Tg","thyroglobulin"
"TGF","tumor growth factor"
"TGV","transposition of the great vessels"
"T&H","type and hold"
"THR","total hip replacement"
"TIA","transient ischemic attack"
"TIBC","total iron-binding capacity"
"Tib-Fib","tibia and fibula"
"TID","three times a day"
"TIN","tubulointerstitial nephritis"
"TIPS","transjugular intrahepatic portosystemic shunt"
"TKA","total knee arthoplasty"
"TKO","to keep (vein) open"
"TKR","total knee replacement"
"TKVO","to keep vein open"
"TLA","three letter acronym"
"TLC","total lung capacity"
"TLC","total lymphocyte count"
"TLH","total laparoscopic hysterectomy"
"TLR","tonic labyrinthine reflex"
"TM","tympanic membrane"
"TME","total mesorectal excision"
"TNF","tumor necrosis factor"
"TMJ","temporomandibular joint"
"TNG","trinitroglycerin"
"TNM","tumor-nodes-metastases"
"TNTC","too numerous to count"
"TOA","tuboovarian abscess"
"TOC","test-of-cure"
"+TOC","positive test-of-cure"
"TOD","transoesophageal Doppler"
"TOE","transoesophageal echocardiogram"
"TOF","tetralogy of Fallot"
"TOP","termination of pregnancy"
"TOT","transobturator tape"
"TP","total protein"
"TPa","tissue plasminogen activator"
"TPN","total parenteral nutrition"
"TPR","temperature, pulse, respiration"
"TR","tricuspid regurgitation"
"Tr","tincture"
"TRAM","transverse rectus abdominis myocutaneous flap"
"TRAP","tartrate-resistant acid phosphatase"
"TRF","transfer"
"TRF'd","transferred"
"TRH","thyrotropin-releasing hormone"
"TRT","testosterone replacement therapy"
"TRUSP","Transrectal Ultrasonography of the Prostate"
"TRUSP","Transrectal Ultrasound of the Prostate"
"TS","tricuspid stenosis"
"Tsp","teaspoon"
"TSH","thyroid stimulating hormone"
"TSH","Thoughts of self-harm"
"TSHR-Ab","thyrotropin-receptor antibody"
"TSI","Thyroid Stimulating Immunoglobulin"
"T.S.T.H.","too sick to send home"
"TT","thrombin time"
"TTE","transthoracic echocardiogram"
"TTN","transient tachypnea of the newborn"
"TTO","to take out"
"TTP","thrombotic thrombocytopenic purpura"
"TTP","tender to palpation"
"TTR","transthyretin"
"TTS","transdermal therapeutic system"
"TTTS","twin-to-twin transfusion syndrome"
"Tu","tumor"
"TUBA","Trans-umbilical breast augmentation"
"TUIP","Transurethral incision of the prostate"
"TUMT","Transurethral microwave thermotherapy"
"TUNA","Transurethral needle ablation of the prostate"
"TUR","transurethral resection"
"TURBT","transurethral resection of bladder tumor"
"TURP","transurethral resection of the prostate"
"TVC","true vocal cord"
"TVH","transvaginal hysterectomy"
"TVT","tension-free vaginal tape"
"Tx","therapy"
"Tx","transplant"
"Tx","treatment"
"Txp","transport"
"UAE","Uterine Artery Embolization"
"UBT","urea breath test"
"UC","ulcerative colitis"
"UCHD","usual childhood diseases"
"UCTD","Undifferentiated connective tissue disease"
"UD","as directed"
"UDS","urine drug screening"
"UDS","Undifferentiated sarcoma"
"UE","upper extremity"
"U&E","urea and electrolytes"
"UFE","Uterine Fibroid Embolization"
"UIP","usual interstitial pneumonitis"
"UGI","upper gastrointestinal"
"ULN","upper limit of normal"
"UOP","urinary output"
"Ung","ointment"
"Unk","unknown"
"UPJ","ureteropelvic junction"
"URA","unilateral renal agenesis"
"URI","upper respiratory infection"
"URTI","upper respiratory tract infection"
"US","ultrasonogram"
"USG","ultrasonogram"
"USO","unilateral salpingo-oophorectomy"
"USP","United States Pharmacopeia"
"USR","unheated serum reagin"
"USS","ultrasound scan"
"UTI","urinary tract infection"
"UUS","upper uterine segment"
"UVAL","ultraviolet argon laser"
"V","ventilation"
"VA","visual acuity"
"VAC","vincristine, actinomycin D, and cyclophosphamide"
"VAD","ventricular assist device"
"VAD","vincristine, adriblastine, dexamethasone"
"Vag","vaginal"
"VAI","cincristine, actinomycin D, and ifosfamide"
"VAMP","vesicle-associated membrane protein"
"VAMP","vincristine, adriblastine, methylprednisone"
"VAS","vibroacoustic stimulation"
"VAS","visual analog scale"
"VBG","venous blood gases"
"VBAC","vaginal birth after caesarean"
"VC","vital capacity"
"VCTC","voluntary counselling and testing centers"
"vCJD","variant Creutzfeldt–Jakob disease"
"VCUG","voiding cystourethrogram"
"VD","vaginal delivery"
"VD","venereal disease"
"VD","volume of distribution"
"VDRF","ventilator-dependent respiratory failure"
"VDRL","Venereal Diseases Research Laboratory"
"VE","vaginal examination"
"VEB","ventricular ectopic beat"
"VED","Vacuum Erection Device"
"VEE","Venezuelan equine encephalitis"
"VF","ventricular fibrillation"
"V-fib","ventricular fibrillation"
"VH","visual hallucinations"
"VH","vaginal hysterectomy"
"VHL","Von Hippel–Lindau disease"
"VIN","vulvar intraepithelial neoplasia"
"VIR","Vascular Interventional Radiology"
"VIP","vasoactive intestinal peptide"
"VLDL","very-low-density lipoprotein"
"VMA","vanillylmandelic acid"
"VMA","violent mechanical asphyxia"
"VNPI","Van Nuys prognostic scoring index"
"VO","verbal order"
"VOC","vaso-occlusive crisis"
"VOD","volume of distribution"
"VPA","valproic acid"
"VPAP","variable positive airway pressure"
"VPB","ventricular premature beats"
"VPC","ventricular premature contraction"
"VPI","Velopharyngeal insufficiency"
"V/Q","ventilation/perfusion scan"
"VRE","vancomycin-resistant enterococcus"
"VRSA","vancomycin-resistant Staphylococcus aureus"
"VS","vital signs"
"VS","versus"
"VSD","ventricular septal defect"
"VSR","ventricular septal rupture"
"VSS","vital signs stable"
"VT","ventricular tachycardia"
"VT","verotoxin"
"VTE","venous thromboembolism"
"VTEC","verotoxin-producing Escherichia coli"
"VUR","vesicoureteral reflux"
"VWD","ventral wall defect"
"VWD","Von Willebrand disease"
"VWF","Von Willebrand factor"
"VZIG","varicella zoster immune globulin"
"VZV","varicella zoster virus"
"WAIS-R","Wechsler adult intelligence scale revised"
"WAP","wandering atrial pacemaker"
"WAS","Wiskott–Aldrich syndrome"
"WASP","Wiskott–Aldrich syndrome protein"
"WAT","white adipose tissue"
"WBAT","weight bearing as tolerated"
"WBC","white blood cell"
"WBC","white blood cell count"
"WBI","whole bowel irrigation"
"WBRT","whole-brain radiotherapy treatment"
"WC","white cells"
"WC","wheelchair"
"WC","water closet"
"W/C","wheelchair"
"WD","well developed"
"WDL","within defined limits"
"WH","well hydrated"
"WDWN","well developed and well nourished"
"WEE","Western equine encephalitis virus"
"WG","Wegener's granulomatosis"
"WISC-R","Wechsler intelligence scale for children revised"
"WLE","Wide local excision"
"WN","well nourished"
"WNL","within normal limits"
"WNL","we never looked"
"W/O","without"
"w/o","without"
"WOI","without incident"
"WPW","Wolff–Parkinson–White syndrome"
"WS","Waardenburg syndrome"
"WS","Warkany syndrome"
"WS","water-soluble"
"WS","Werner syndrome"
"WS","West syndrome"
"WS","Williams syndrome"
"WS","Wolfram syndrome"
"wt","weight"
"w/u","Workup"
"WWI","walking while intoxicated"
"WWI","World War I"
"X-AFP","extended alpha-fetoprotein"
"XR","extended release"
"XR","x-ray"
"XRT","radiotherapy used in cancer treatment"
"y","year(s)"
"YO","years old"
"yo","years old"
"y/o","years old"
"YPLL","years of potential life lost"
"YST","yolk sac tumor"
"yr","year(s)"
"ZD","zinc deficiency"
"ZDV","zidovudine"
"ZES","Zollinger–Ellison syndrome"
"ZIFT","zygote intrafallopian transfer"
"ZMC","Zygomatico-Maxillary Complex"
"Zn","zinc"